OIB osobe;Ime;Prezime
10000000001;Ana;Petrović
10000000002;Ivan;Petrović
10000000003;Ivka;Kovač
10000000004;Stjepan;Kovač
10000000005;Marija;Kovač
10000000006;Marko;Kovač
10000000007;Luka;Kovač
10000000008;Ante;Kovač
10000000009;Ivan;Kovač
10000000010;Robert;Kovač
10000000011;Petar;Kovač
10000000012;David;Kovač
10000000013;Filip;Kovač
10000000014;Damir;Kovač
10000000015;Danijel;Kovač
10000000016;Noa;Kovač
10000000017;Mia;Kovač
10000000018;Lana;Kovač
10000000019;Ivana;Horvat
10000000020;Jadranka;Horvat
10000000021;Tatjana;Horvat
10000000022;Mila;Tomljenović
10000000023;Stela;Tomljenović
10000000024;Ema;Tomljenović
10000000025;Barbara;Novak
10000000026;Josip;Novak
10000000027;Kata;Horvat
10000000028;Franjo;Horvat
10000000029;Marica;Horvat
10000000030;Stjepan;Horvat
10000000031;Ana;Radić
10000000032;Milan;Radić
10000000033;Ruža;Tomljenović
10000000034;Zvonko;Tomljenović
10000000035;Jelena;Tomljenović
10000000036;Mirko;Tomljenović
10000000037;Mia;Babić
10000000038;Tomislav;Babić
10000000039;Jelena;Jurić
10000000040;Marko;Jurić
10000000041;Laura;Jurić
10000000042;Luka;Jurić
10000000043;Matej;Jurić
10000000044;Filip;Jurić
10000000045;Tomislav;Jurić
10000000046;Ivan;Jurić
10000000047;Josip;Jurić
10000000048;Nikola;Jurić
10000000049;Antonio;Jurić
10000000050;Kristijan;Jurić
10000000051;Lovro;Jurić
10000000052;Leo;Jurić
10000000053;Sara;Jurić
10000000054;Ema;Jurić
10000000055;Marija;Vuković
10000000056;Tena;Vuković
10000000057;Lorena;Vuković
10000000058;Lana;Perić
10000000059;Nika;Perić
10000000060;Valentina;Perić
10000000061;Katarina;Knežević
10000000062;Petar;Knežević
10000000063;Ana;Vuković
10000000064;Stjepan;Vuković
10000000065;Ivana;Vuković
10000000066;Marko;Vuković
10000000067;Mia;Šimić
10000000068;Boris;Šimić
10000000069;Zrinka;Perić
10000000070;Robert;Perić
10000000071;Karla;Perić
10000000072;David;Perić
10000000073;Nina;Lovrić
10000000074;Marin;Lovrić
10000000075;Lucija;Marić
10000000076;Dario;Marić
10000000077;Petra;Marić
10000000078;Ivan;Marić
10000000079;Domagoj;Marić
10000000080;Mate;Marić
10000000081;Luka;Marić
10000000082;Luka;Marić
10000000083;Tin;Marić
10000000084;Fran;Marić
10000000085;Leon;Marić
10000000086;Jakov;Marić
10000000087;Gabriel;Marić
10000000088;Vito;Marić
10000000089;Mia;Marić
10000000090;Lana;Marić
10000000091;Marica;Franjić
10000000092;Jadranka;Franjić
10000000093;Tatjana;Franjić
10000000094;Mila;Novak
10000000095;Stela;Novak
10000000096;Ema;Novak
10000000097;Barbara;Petrović
10000000098;Josip;Petrović
10000000099;Kata;Franjić
10000000100;Franjo;Franjić
10000000101;Marica;Franjić
10000000102;Dario;Franjić
10000000103;Nina;Horvat
10000000104;Milan;Horvat
10000000105;Ruža;Novak
10000000106;Zvonko;Novak
10000000107;Jelena;Novak
10000000108;Mirko;Novak
10000000109;Janko;Horvat
10000000110;Marin;Franjić
10000000111;Ranko;Petrović
10000000112;Branko;Franjić
10000000113;Stribor ;Tomljenović
10000000114;Marina;Franjić
10000000115;Charles;Robinson
10000000116;Erica;Morales
10000000117;Radmila;Đorđević
