OIB osobe;Ime;Prezime;Datum smrti;Datum upisa
10000000001;Ana;Petrović;14.3.2015;16.3.2015
10000000002;Ivan;Petrović;22.7.2018;24.7.2018
10000000003;Ivka;Kovač;5.11.2016;7.11.2016
10000000004;Stjepan;Kovač;18.9.2019;20.9.2019
10000000006;Marko;Kovač;20.1.2025;22.1.2025
10000000025;Barbara;Novak;29.4.2017;1.5.2017
10000000026;Josip;Novak;12.8.2020;14.8.2020
10000000027;Kata;Horvat;3.12.2014;5.12.2014
10000000028;Franjo;Horvat;17.2.2021;19.2.2021
10000000031;Ana;Radić;24.5.2019;26.5.2019
10000000032;Milan;Radić;8.10.2017;10.10.2017
10000000033;Ruža;Tomljenović;31.1.2018;2.2.2018
10000000034;Zvonko;Tomljenović;15.6.2022;17.6.2022
10000000037;Mia;Babić;7.3.2020;9.3.2020
10000000038;Tomislav;Babić;19.4.2016;21.4.2016
10000000039;Jelena;Jurić;11.9.2023;13.9.2023
10000000040;Marko;Jurić;25.12.2015;27.12.2015
10000000042;Luka;Jurić;20.1.2024;22.1.2024
10000000061;Katarina;Knežević;30.7.2021;1.8.2021
10000000062;Petar;Knežević;14.11.2018;16.11.2018
10000000063;Ana;Vuković;28.2.2019;2.3.2019
10000000064;Stjepan;Vuković;9.6.2017;11.6.2017
10000000067;Mia;Šimić;23.10.2020;25.10.2020
10000000068;Boris;Šimić;17.8.2016;19.8.2016
10000000069;Zrinka;Perić;5.4.2022;7.4.2022
10000000070;Robert;Perić;12.1.2015;14.1.2015
10000000073;Nina;Lovrić;8.12.2021;10.12.2021
10000000074;Marin;Lovrić;16.7.2019;18.7.2019
10000000075;Lucija;Marić;27.5.2018;29.5.2018
10000000076;Dario;Marić;4.3.2023;6.3.2023
10000000078;Ivan;Marić;20.7.2024;22.7.2024
10000000097;Barbara;Petrović;15.9.2020;17.9.2020
10000000098;Josip;Petrović;11.2.2017;13.2.2017
10000000099;Kata;Franjić;19.8.2022;21.8.2022
10000000100;Franjo;Franjić;22.10.2016;24.10.2016
10000000103;Nina;Horvat;30.12.2018;1.1.2019
10000000104;Milan;Horvat;13.4.2021;15.4.2021
10000000105;Ruža;Novak;26.11.2019;28.11.2019
10000000106;Zvonko;Novak;18.7.2015;20.7.2015
