OIB osobe;Ime;Prezime;Spol;Datum roðenja;OIB majke;Ime majke;Prezime majke;Roðeno prezime majke;OIB oca;Ime oca;Prezime oca;Roðeno prezime oca
10000000001;Ana;Petroviæ;Ž;12.5.1925;;;;;;;;
10000000002;Ivan;Petroviæ;M;18.3.1922;;;;;;;;
10000000003;Ivka;Kovaè;Ž;10.9.1924;;;;;;;;
10000000004;Stjepan;Kovaè;M;3.11.1921;;;;;;;;
10000000005;Marija;Kovaè;Ž;10.7.1950;10000000001;Ana;Petroviæ;Petroviæ;10000000002;Ivan;Petroviæ;Petroviæ
10000000006;Marko;Kovaè;M;23.1.1948;10000000003;Ivka;Kovaè;Horvat;10000000004;Stjepan;Kovaè;Kovaè
10000000007;Luka;Kovaè;M;5.6.1975;10000000005;Marija;Kovaè;Petroviæ;10000000006;Marko;Kovaè;Kovaè
10000000008;Ante;Kovaè;M;22.11.1978;10000000005;Marija;Kovaè;Petroviæ;10000000006;Marko;Kovaè;Kovaè
10000000009;Ivan;Kovaè;M;14.2.1980;10000000005;Marija;Kovaè;Petroviæ;10000000006;Marko;Kovaè;Kovaè
10000000010;Robert;Kovaè;M;18.4.2000;10000000019;Ivana;Kovaè;Horvat;10000000007;Luka;Kovaè;Kovaè
10000000011;Petar;Kovaè;M;25.7.2003;10000000019;Ivana;Kovaè;Horvat;10000000007;Luka;Kovaè;Kovaè
10000000012;David;Kovaè;M;30.9.2005;10000000020;Jadranka;Kovaè;Horvat;10000000008;Ante;Kovaè;Kovaè
10000000013;Filip;Kovaè;M;3.12.2008;10000000020;Jadranka;Kovaè;Horvat;10000000008;Ante;Kovaè;Kovaè
10000000014;Damir;Kovaè;M;17.6.2001;10000000021;Tatjana;Kovaè;Horvat;10000000009;Ivan;Kovaè;Kovaè
10000000015;Danijel;Kovaè;M;5.3.2003;10000000021;Tatjana;Kovaè;Horvat;10000000009;Ivan;Kovaè;Kovaè
10000000016;Noa;Kovaè;M;10.1.2022;10000000022;Mila;Kovaè;Tomljenoviæ;10000000010;Robert;Kovaè;Kovaè
10000000017;Mia;Kovaè;Ž;16.4.2023;10000000023;Stela;Kovaè;Tomljenoviæ;10000000012;David;Kovaè;Kovaè
10000000018;Lana;Kovaè;Ž;1.9.2024;10000000024;Ema;Kovaè;Tomljenoviæ;10000000014;Damir;Kovaè;Kovaè
10000000019;Ivana;Horvat;Ž;20.5.1976;10000000029;Marica;Horvat;Novak;10000000030;Stjepan;Horvat;Horvat
10000000020;Jadranka;Horvat;Ž;12.9.1979;10000000029;Marica;Horvat;Novak;10000000030;Stjepan;Horvat;Horvat
10000000021;Tatjana;Horvat;Ž;8.2.1981;10000000029;Marica;Horvat;Novak;10000000030;Stjepan;Horvat;Horvat
10000000022;Mila;Tomljenoviæ;Ž;18.7.2000;10000000114;Marina;Franjiæ;Franjiæ;10000000113;Stribor ;Tomljenoviæ;Tomljenoviæ
10000000023;Stela;Tomljenoviæ;Ž;4.10.2002;10000000114;Marina;Franjiæ;Franjiæ;10000000113;Stribor ;Tomljenoviæ;Tomljenoviæ
10000000024;Ema;Tomljenoviæ;Ž;26.12.2003;10000000114;Marina;Franjiæ;Franjiæ;10000000113;Stribor ;Tomljenoviæ;Tomljenoviæ
10000000113;Stribor ;Tomljenoviæ;M;1.12.1980;10000000035;Jelena;Tomljenoviæ;Radiæ;10000000036;Mirko;Tomljenoviæ;Tomljenoviæ
