OIB osobe;Ime;Prezime;Datum smrti;Datum upisa
10000000001;Ana;Petroviæ;2015-03-14;2015-03-16
10000000002;Ivan;Petroviæ;2018-07-22;2018-07-24
10000000003;Ivka;Kovaè;2016-11-05;2016-11-07
10000000004;Stjepan;Kovaè;2019-09-18;2019-09-20
10000000006;Marko;Kovaè;2025-01-20;2025-01-22
10000000025;Barbara;Novak;2017-04-29;2017-05-01
10000000026;Josip;Novak;2020-08-12;2020-08-14
10000000027;Kata;Horvat;2014-12-03;2014-12-05
10000000028;Franjo;Horvat;2021-02-17;2021-02-19
10000000031;Ana;Radiæ;2019-05-24;2019-05-26
10000000032;Milan;Radiæ;2017-10-08;2017-10-10
10000000033;Ruža;Tomljenoviæ;2018-01-31;2018-02-02
10000000034;Zvonko;Tomljenoviæ;2022-06-15;2022-06-17
10000000037;Mia;Babiæ;2020-03-07;2020-03-09
10000000038;Tomislav;Babiæ;2016-04-19;2016-04-21
10000000039;Jelena;Juriæ;2023-09-11;2023-09-13
10000000040;Marko;Juriæ;2015-12-25;2015-12-27
10000000042;Luka;Juriæ;2024-01-20;2024-01-22
10000000061;Katarina;Kneževiæ;2021-07-30;2021-08-01
10000000062;Petar;Kneževiæ;2018-11-14;2018-11-16
10000000063;Ana;Vukoviæ;2019-02-28;2019-03-02
10000000064;Stjepan;Vukoviæ;2017-06-09;2017-06-11
10000000067;Mia;Šimiæ;2020-10-23;2020-10-25
10000000068;Boris;Šimiæ;2016-08-17;2016-08-19
10000000069;Zrinka;Periæ;2022-04-05;2022-04-07
10000000070;Robert;Periæ;2015-01-12;2015-01-14
10000000073;Nina;Lovriæ;2021-12-08;2021-12-10
10000000074;Marin;Lovriæ;2019-07-16;2019-07-18
10000000075;Lucija;Mariæ;2018-05-27;2018-05-29
10000000076;Dario;Mariæ;2023-03-04;2023-03-06
10000000078;Ivan;Mariæ;2024-07-20;2024-07-22
10000000097;Barbara;Petroviæ;2020-09-15;2020-09-17
10000000098;Josip;Petroviæ;2017-02-11;2017-02-13
10000000099;Kata;Franjiæ;2022-08-19;2022-08-21
10000000100;Franjo;Franjiæ;2016-10-22;2016-10-24
10000000103;Nina;Horvat;2018-12-30;2019-01-01
10000000104;Milan;Horvat;2021-04-13;2021-04-15
10000000105;Ruža;Novak;2019-11-26;2019-11-28
10000000106;Zvonko;Novak;2015-07-18;2015-07-20
